-13.565,6.3947,125
-1.09,4.1779,62
-4.39,2.5051,95
1.91,0.81157,32
-6.65,5.8229,117
-0.29,4.1524,54
-3.59,2.463,87
2.71,0.77855,24
-5.79,5.8,109
0.51,4.0606,46
-2.79,2.4145,79
3.51,0.77302,16
-4.99,5.7849,101
1.31,4.0929,38
-1.99,2.4197,71
5.06,0.65032,8
-4.19,5.8812,93
2.11,4.2323,30
-19.582,2.6213,127
-1.29,0.84138,64
-3.39,5.8743,85
2.91,4.1946,22
-7.15,2.5535,119
-0.49,0.82965,56
-2.59,5.7881,77
3.71,4.1367,14
-5.99,2.5052,111
0.31,0.76691,48
-1.79,5.8117,69
5.96,4.0949,6
-5.19,2.5027,103
1.11,0.76923,40
-0.99,5.8695,61
-4.29,4.3,94
2.01,2.6199,31
-25,1.001,128
-0.19,5.8799,53
-3.49,4.2643,86
2.81,2.5789,23
-7.65,0.91458,120
0.61,5.8026,45
-2.69,4.1832,78
3.61,2.5137,15
-6.09,0.90861,112
1.41,5.8158,37
-1.89,4.2399,70
5.46,2.4622,7
-5.29,0.84567,104
2.21,5.9121,29
-16.042,4.3719,126
-1.19,2.6504,63
-4.49,0.97494,96
3.01,5.8917,21
-6.85,4.2964,118
-0.39,2.6363,55
-3.69,0.90415,88
3.81,5.915,13
-5.89,4.2408,110
0.41,2.5483,47
-2.89,0.84396,80
6.56,5.8207,5
-5.09,4.2818,102
1.21,2.5805,39
-2.09,0.84797,72
-8.352,-0.79177,121
-0.69,-2.5732,58
-3.99,-4.2495,91
2.31,-5.9431,28
-6.19,-0.82835,113
0.11,-2.5697,50
-3.19,-4.2485,83
3.11,-5.9957,20
-5.39,-0.8922,105
0.91,-2.6747,42
-2.39,-4.2871,75
3.96,-6.0297,12
-4.59,-0.90817,97
1.71,-2.615,34
-1.59,-4.3,67
7.41,-6.0809,4
-3.79,-0.80226,89
2.51,-2.506,26
-10.346,-4.1066,123
-0.89,-5.8946,60
-2.99,-0.82634,81
3.31,-2.5574,18
-6.39,-4.1704,115
-0.09,-5.8904,52
-2.19,-0.87069,73
4.41,-2.6125,10
-5.59,-4.2518,107
0.71,-6.0033,44
-1.39,-0.85773,65
11.5,-2.6663,2
-4.79,-4.2389,99
1.51,-5.9907,36
-0.59,-0.78881,57
-3.89,-2.4541,90
2.41,-4.11,27
-11.742,-5.7657,124
0.21,-0.75533,49
-3.09,-2.4542,82
3.21,-4.15,19
-6.5,-5.8495,116
1.01,-0.85804,41
-2.29,-2.5245,74
4.16,-4.2737,11
-5.69,-5.9314,108
1.81,-0.83414,33
-1.49,-2.5066,66
9,-4.3186,3
-4.89,-5.8793,100
2.61,-0.70146,25
-9.244,-2.3305,122
-0.79,-4.1045,59
-4.09,-5.795,92
3.41,-0.7741,17
-6.29,-2.441,114
0.01,-4.0891,51
-3.29,-5.7819,84
4.71,-0.80935,9
-5.49,-2.4489,106
0.81,-4.2149,43
-2.49,-5.8589,76
15,-0.91354,1
-4.69,-2.4375,98
1.61,-4.1765,35
-1.69,-5.8549,68
